,SGPA_Sem1,SGPA_Sem2,SGPA_Sem3,SGPA_Sem4,SGPA_Sem5,SGPA_Sem6,SGPA_Sem7,SGPA_Sem8,CGPA,AttendancePercent,Internships,Projects,Workshops,Certifications,Publications,AptitudeTestScore,SoftSkillsRating,CodingTestScore,MockInterviewScore,ExtraCurricular,PlacementStatus
Internships,0.44637013350550586,0.4557179646437171,0.46206025323354616,0.4685512580762283,0.47522644812787546,0.4819045423013103,0.48886184300638164,0.4962237878471966,0.5197279803100359,0.5043037175382872,1.0,0.6335397297933847,0.5490159725133288,0.5683691568513635,0.4801599075888708,0.5911740876179334,0.5461252820250134,0.6436583708025015,0.6191484923007013,0.22495457460899226,0.5261973883356353
Projects,0.5058473348853034,0.5143880710484428,0.5235311931220149,0.5309169585959348,0.5393353683101709,0.5472989298907504,0.5544370567943451,0.5622405029632818,0.583577045814538,0.5763312265172292,0.6335397297933847,1.0,0.6236305246547118,0.6476838360617557,0.5380040699783399,0.6708953817540335,0.6145575971055474,0.7292091786239123,0.704937828547797,0.2543911892640152,0.5801216180561873
Workshops,0.5358937528312334,0.5452081120758254,0.5543898836584796,0.5639201300945726,0.5711696879173296,0.5793154145876378,0.5865857935449142,0.5952788369723917,0.5325990296197519,0.6074156288000127,0.5490159725133288,0.6236305246547118,1.0,0.6811107403319206,0.5630150470709258,0.6068395835804782,0.6487054955691322,0.6672690140369515,0.7387320103584525,0.2652089517168366,0.5815353947810347
Certifications,0.5502704896315743,0.5607304552015007,0.5689442602921635,0.5781637799352474,0.5876236345103075,0.5953806301319367,0.604213578783836,0.611449160933938,0.5497500616199519,0.6308627795646558,0.5683691568513635,0.6476838360617557,0.6811107403319206,1.0,0.5813232655930222,0.6307152830171187,0.6702266353523346,0.6904909330020313,0.7643935566941675,0.27286982988383646,0.6013149197338807
Publications,0.45683737184973633,0.4648323874128938,0.47217025798944445,0.4799122524828092,0.4862258872702871,0.4933731753610146,0.4996466519320988,0.5060722476396812,0.4555942516797412,0.5073647498121672,0.4801599075888708,0.5380040699783399,0.5630150470709258,0.5813232655930222,1.0,0.5073256729946751,0.5541129135646607,0.5642423484432607,0.6292317965086026,0.2282287034632962,0.46935127778622426
AptitudeTestScore,0.49515724521188287,0.5064743917959061,0.5141468465600854,0.5221571611342758,0.5303059428499113,0.5380661408581648,0.5458605551549588,0.5529230922137814,0.639591923104044,0.661628892504931,0.5911740876179334,0.6708953817540335,0.6068395835804782,0.6307152830171187,0.5073256729946751,1.0,0.6030570988020949,0.8100480240819407,0.6885087003473123,0.24515599336348015,0.5777489664824104
SoftSkillsRating,0.5259997929923855,0.5355816714865461,0.5435927284704177,0.5518209921699581,0.5606515527579476,0.5692496865402057,0.5769713723096105,0.584506923785113,0.5245493606561561,0.6027691901669333,0.5461252820250134,0.6145575971055474,0.6487054955691322,0.6702266353523346,0.5541129135646607,0.6030570988020949,1.0,0.6631326574092328,0.7318486419846885,0.2584926129218028,0.6247879333010514
CodingTestScore,0.5460140075370229,0.5558021566516258,0.5638934205867688,0.5729056671293894,0.5814027140549549,0.5895271466660864,0.5984290758290212,0.6056057281847674,0.6961599783072244,0.7179407004791861,0.6436583708025015,0.7292091786239123,0.6672690140369515,0.6904909330020313,0.5642423484432607,0.8100480240819407,0.6631326574092328,1.0,0.7529647096066237,0.2725548225386639,0.6128317147751934
MockInterviewScore,0.6075405064438127,0.6181422036969492,0.6272596683801285,0.6370484384005581,0.6468649005992312,0.655004463779505,0.6644180560869781,0.6738520312418723,0.6042312845447773,0.6848336247472694,0.6191484923007013,0.704937828547797,0.7387320103584525,0.7643935566941675,0.6292317965086026,0.6885087003473123,0.7318486419846885,0.7529647096066237,1.0,0.29929241922211325,0.6679998876845281
ExtraCurricular,0.21311492091092435,0.21564221031125164,0.22003354353044596,0.22201314750086926,0.22699874615561935,0.2309749329371379,0.23497854776127275,0.23732509410633473,0.21378175208820685,0.2477349170117056,0.22495457460899226,0.2543911892640152,0.2652089517168366,0.27286982988383646,0.2282287034632962,0.24515599336348015,0.2584926129218028,0.2725548225386639,0.29929241922211325,1.0,0.2395719131260022
PlacementStatus,0.665038942521405,0.6722517070861543,0.6777800402763845,0.683971542919334,0.6909135050768099,0.6958810216226265,0.7019716872056666,0.7071470336022787,0.6489263470259014,0.5540237558143319,0.5261973883356353,0.5801216180561873,0.5815353947810347,0.6013149197338807,0.46935127778622426,0.5777489664824104,0.6247879333010514,0.6128317147751934,0.6679998876845281,0.2395719131260022,1.0
